id,account_status,months,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,guarantors,residence,property,age,other_installments,housing,credit_cards,job,dependents,phone,foreign_worker,credit_rating
1,0 <= x < 200 DM ,39,delay in paying off in the past ,education ,11760,100 <= x < 500 DM ,4 <= x < 7 years ,2,male - single ,none ,3,unknown / no property ,32,none ,rent ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
2,no checking account ,36,critical account/ other credits existing (not at this bank) ,car (new) ,6614,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",34,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
3,x < 0 DM ,30,critical account/ other credits existing (not at this bank) ,car (used) ,6187,100 <= x < 500 DM ,4 <= x < 7 years ,1,male - married/widowed ,none ,4,"car or other, not in attribute Account ",24,none ,rent ,2,skilled employee / official,1,none ,yes ,1
4,no checking account ,24,delay in paying off in the past ,furniture/equipment ,4151,100 <= x < 500 DM ,1 <= x < 4 years ,2,male - single ,none ,3,building society savings agreement/ life insurance ,35,none ,own ,2,skilled employee / official,1,none ,yes ,1
5,x < 0 DM ,12,existing credits paid back duly till now ,radio/television ,709,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,real estate ,57,stores ,own ,1,unskilled - resident,1,none ,yes ,2
6,0 <= x < 200 DM ,30,existing credits paid back duly till now ,radio/television ,1715,unknown/ no savings account ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,1,"car or other, not in attribute Account ",26,none ,own ,1,skilled employee / official,1,none ,yes ,1
7,no checking account ,24,delay in paying off in the past ,business ,3863,x < 100 DM ,1 <= x < 4 years ,1,male - single ,none ,2,unknown / no property ,32,none ,for free ,1,skilled employee / official,1,none ,yes ,1
8,no checking account ,9,existing credits paid back duly till now ,furniture/equipment ,1313,x < 100 DM ,x>= 7 years ,1,male - single ,none ,4,"car or other, not in attribute Account ",20,none ,own ,1,skilled employee / official,1,none ,yes ,1
9,x < 0 DM ,18,critical account/ other credits existing (not at this bank) ,car (new) ,5302,x < 100 DM ,x>= 7 years ,2,male - single ,none ,4,unknown / no property ,36,none ,for free ,3,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
10,0 <= x < 200 DM ,18,existing credits paid back duly till now ,car (new) ,1042,unknown/ no savings account ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,2,building society savings agreement/ life insurance ,33,none ,own ,1,skilled employee / official,1,none ,yes ,2
11,x < 0 DM ,15,critical account/ other credits existing (not at this bank) ,furniture/equipment ,1478,x < 100 DM ,x>= 7 years ,4,male - single ,none ,4,"car or other, not in attribute Account ",44,none ,own ,2,skilled employee / official,2,"yes, registered under the customers name ",yes ,1
12,0 <= x < 200 DM ,18,critical account/ other credits existing (not at this bank) ,car (new) ,1056,x < 100 DM ,x>= 7 years ,3,male - single ,guarantor ,3,real estate ,30,bank ,own ,2,skilled employee / official,1,none ,yes ,2
13,no checking account ,39,existing credits paid back duly till now ,car (used) ,8588,100 <= x < 500 DM ,x>= 7 years ,4,male - single ,none ,2,"car or other, not in attribute Account ",45,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
14,no checking account ,24,existing credits paid back duly till now ,radio/television ,3235,500 <= x < 1000 DM ,x>= 7 years ,3,male - divorced/separated ,none ,2,"car or other, not in attribute Account ",26,none ,own ,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
15,x < 0 DM ,30,existing credits paid back duly till now ,furniture/equipment ,3622,x>= 1000 DM ,x>= 7 years ,4,female - divorced/separated/married ,none ,4,building society savings agreement/ life insurance ,57,none ,rent ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
16,x < 0 DM ,39,critical account/ other credits existing (not at this bank) ,furniture/equipment ,14179,unknown/ no savings account ,4 <= x < 7 years ,4,male - single ,none ,4,building society savings agreement/ life insurance ,30,none ,own ,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name ",yes ,1
17,no checking account ,12,delay in paying off in the past ,repairs ,1555,x>= 1000 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,55,none ,for free ,2,skilled employee / official,2,none ,yes ,2
18,no checking account ,24,critical account/ other credits existing (not at this bank) ,radio/television ,1516,x>= 1000 DM ,1 <= x < 4 years ,4,female - divorced/separated/married ,none ,1,real estate ,43,none ,own ,2,unskilled - resident,1,none ,yes ,1
19,x < 0 DM ,6,existing credits paid back duly till now ,car (new) ,1203,100 <= x < 500 DM ,x>= 7 years ,3,male - single ,none ,2,building society savings agreement/ life insurance ,43,none ,own ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
20,x >= 200 DM / salary assignments for at least 1 year ,12,existing credits paid back duly till now ,radio/television ,1881,x < 100 DM ,1 <= x < 4 years ,2,female - divorced/separated/married ,none ,2,"car or other, not in attribute Account ",44,none ,rent ,1,unskilled - resident,1,"yes, registered under the customers name ",yes ,1
21,no checking account ,24,critical account/ other credits existing (not at this bank) ,repairs ,2058,x < 100 DM ,1 <= x < 4 years ,4,male - divorced/separated ,none ,2,real estate ,33,none ,own ,2,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
22,no checking account ,10,existing credits paid back duly till now ,education ,727,500 <= x < 1000 DM ,x>= 7 years ,4,male - single ,none ,4,unknown / no property ,46,none ,for free ,1,skilled employee / official,1,"yes, registered under the customers name ",yes ,1
23,0 <= x < 200 DM ,18,no credits taken/ all credits paid back duly ,car (new) ,2278,100 <= x < 500 DM ,x < 1 year ,3,female - divorced/separated/married ,none ,3,"car or other, not in attribute Account ",28,none ,own ,2,skilled employee / official,1,none ,yes ,2
